kanji,kosakata,grammar,reading,status
65,72,38,85,Siap
55,58,72,57,Siap
69,67,78,56,Siap
91,93,82,76,Siap
62,46,54,85,Siap
50,51,63,56,Siap
97,79,65,77,Siap
70,84,67,80,Siap
45,49,42,80,Siap
75,83,64,43,Siap
56,55,50,42,Siap
55,53,36,79,Siap
56,61,72,52,Siap
18,15,46,32,Belum Siap
14,42,4,37,Belum Siap
49,48,58,42,Siap
33,31,32,47,Siap
69,57,60,85,Siap
37,36,53,50,Siap
42,42,34,53,Siap
98,100,90,95,Siap
59,56,51,66,Siap
69,62,57,64,Siap
31,29,35,57,Siap
46,51,63,43,Siap
71,70,63,63,Siap
38,48,54,70,Siap
65,62,59,53,Siap
37,47,44,80,Siap
53,51,40,55,Siap
52,45,51,75,Siap
100,100,100,48,Siap
62,51,100,47,Siap
35,41,35,31,Siap
64,80,77,74,Siap
32,34,41,39,Siap
62,69,53,58,Siap
18,21,42,26,Belum Siap
37,40,40,45,Siap
75,54,63,67,Siap
75,72,76,49,Siap
62,62,61,54,Siap
56,41,50,89,Siap
54,47,43,74,Siap
25,25,30,23,Belum Siap
46,51,51,35,Siap
53,46,63,58,Siap
82,76,63,71,Siap
69,71,49,56,Siap
27,15,28,88,Siap
55,54,77,88,Siap
56,50,40,71,Siap
42,37,53,63,Siap
58,73,47,77,Siap
73,84,81,82,Siap
81,83,89,52,Siap
41,47,48,74,Siap
43,60,49,56,Siap
69,74,59,68,Siap
70,66,90,69,Siap
51,53,56,53,Siap
57,53,66,61,Siap
33,39,41,55,Siap
46,39,49,24,Siap
61,74,75,65,Siap
86,76,100,51,Siap
56,62,70,65,Siap
82,82,70,86,Siap
68,68,73,84,Siap
44,41,50,87,Siap
64,71,53,63,Siap
68,100,79,57,Siap
65,59,63,56,Siap
94,84,82,89,Siap
13,5,58,1,Belum Siap
74,81,73,95,Siap
57,69,47,67,Siap
42,58,68,88,Siap
63,60,43,100,Siap
14,19,26,41,Belum Siap
66,57,50,64,Siap
59,63,73,40,Siap
91,72,78,62,Siap
49,61,46,62,Siap
47,54,44,53,Siap
51,46,35,58,Siap
72,71,64,69,Siap
42,79,52,63,Siap
54,48,49,55,Siap
79,76,73,52,Siap
59,62,66,58,Siap
72,74,86,54,Siap
31,38,60,45,Siap
47,58,50,71,Siap
51,55,45,64,Siap
40,37,39,52,Siap
64,67,42,64,Siap
67,76,51,57,Siap
57,49,58,47,Siap
51,59,41,74,Siap
40,20,45,48,Siap
52,46,58,62,Siap
34,68,37,58,Siap
26,58,53,59,Siap
51,53,59,40,Siap
64,64,71,74,Siap
100,98,97,65,Siap
62,66,61,73,Siap
64,72,76,68,Siap
66,55,50,36,Siap
17,11,23,49,Belum Siap
64,67,85,63,Siap
57,58,57,75,Siap
100,100,97,75,Siap
54,57,77,60,Siap
66,64,68,71,Siap
61,61,61,69,Siap
